Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,mrp_rupees,selling_price_rupees,savings,discount_category,stock_status,price_category,weight_category,quantity_category,sku_id
Munchies,Popular Essentials Tamarind,15000,14,6,12800,500,False,500,150.0,128.0,22.0,Medium Discount,In Stock,Affordable,Medium,Bulk Pack,924
Munchies,Gits Rice Dosa Instant Breakfast Mix,6000,5,5,5700,200,False,200,60.0,57.0,3.0,Low Discount,Low Stock,Affordable,Light,Bulk Pack,925
Munchies,Popular Essentials Poppy Seeds (Gasagase),28000,7,6,26000,100,False,100,280.0,260.0,20.0,Low Discount,In Stock,Mid-Range,Light,Bulk Pack,926
Munchies,Hershey's Hot Chocolate Powder,21000,0,4,21000,250,False,250,210.0,210.0,0.0,No Discount,Low Stock,Mid-Range,Light,Bulk Pack,927
Munchies,Borges Farfalle Durum Wheat Pasta ,25000,0,5,25000,500,False,500,250.0,250.0,0.0,No Discount,Low Stock,Mid-Range,Medium,Bulk Pack,928
Munchies,Satyam Chilli  Bedgi,8200,10,5,7300,100,False,100,82.0,73.0,9.0,Low Discount,Low Stock,Affordable,Light,Bulk Pack,929
Munchies,Aashirvaad Instant Mix - Rice Dosa,7500,30,6,5200,200,False,200,75.0,52.0,23.0,High Discount,In Stock,Affordable,Light,Bulk Pack,930
Munchies,Hershey's Cocoa - Natural Unsweetened,27000,10,4,24300,225,False,225,270.0,243.0,27.0,Low Discount,Low Stock,Mid-Range,Light,Bulk Pack,931
Munchies,Weikfield Veg Jelly Crystals - Mango,4500,2,6,4400,90,False,90,45.0,44.0,1.0,Low Discount,In Stock,Budget,Light,Bulk Pack,932
Munchies,Praakritik Orrganic Cold Pressed Sesame Oil,13000,10,5,11700,100,False,100,130.0,117.0,13.0,Low Discount,Low Stock,Affordable,Light,Bulk Pack,933
Munchies,Amulya Dairy Whitener ,38000,2,4,37200,1000,False,1,380.0,372.0,8.0,Low Discount,Low Stock,Mid-Range,Heavy,Single,934
Munchies,ITC Master Chef Hyderabadi Biryani,7500,30,5,5200,80,False,80,75.0,52.0,23.0,High Discount,Low Stock,Affordable,Light,Bulk Pack,935
Munchies,Flying Bird Butter Scotch Essence,5000,2,6,4900,20,False,20,50.0,49.0,1.0,Low Discount,In Stock,Budget,Light,Bulk Pack,936
Munchies,Dabur Hommade - Ginger Paste,5000,6,6,4700,200,False,200,50.0,47.0,3.0,Low Discount,In Stock,Budget,Light,Bulk Pack,937
Munchies,Popular Essentials Green Peas (Un-Polished),12000,10,5,10800,500,False,500,120.0,108.0,12.0,Low Discount,Low Stock,Affordable,Medium,Bulk Pack,938
Munchies,Quaker Oats Pouch,27600,10,6,24800,1500,False,1,276.0,248.0,28.0,Low Discount,In Stock,Mid-Range,Extra Heavy,Single,939
Munchies,24 Mantra Organic Urad White Whole,14500,15,4,12200,500,False,500,145.0,122.0,23.0,Medium Discount,Low Stock,Affordable,Medium,Bulk Pack,940
Munchies,Popular Essentials Guntur Chilli Stemless,4000,2,2,3900,100,False,100,40.0,39.0,1.0,Low Discount,Low Stock,Budget,Light,Bulk Pack,941
Munchies,Popular Essentials Moth Whole,9000,10,6,8100,500,False,500,90.0,81.0,9.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,942
Munchies,Keya Pizza Seasoning,10900,17,6,9000,45,False,45,109.0,90.0,19.0,Medium Discount,In Stock,Affordable,Light,Bulk Pack,943
Munchies,Keya Piri Piri | Exotic Spices Mix,10900,20,6,8700,80,False,80,109.0,87.0,22.0,Medium Discount,In Stock,Affordable,Light,Bulk Pack,944
Munchies,24 Mantra Organic Moong Dal,13500,7,6,12500,500,False,500,135.0,125.0,10.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,945
Munchies,Betty Crocker French Vanilla Cake Mix,31000,10,6,27600,520,False,520,310.0,276.0,34.0,Low Discount,In Stock,Mid-Range,Heavy,Bulk Pack,946
Munchies,Delight Nuts Dried Cranberries ,34000,20,6,27200,200,False,200,340.0,272.0,68.0,Medium Discount,In Stock,Mid-Range,Light,Bulk Pack,947
Munchies,Everest Kesari Milk Masala,20500,0,2,20500,50,False,50,205.0,205.0,0.0,No Discount,Low Stock,Mid-Range,Light,Bulk Pack,948
Munchies,Tong Garden Salted Cocktail Nuts,29500,9,5,26600,160,False,160,295.0,266.0,29.0,Low Discount,Low Stock,Mid-Range,Light,Bulk Pack,949
Munchies,MTR Uttapam Mix,16500,5,6,15600,500,False,500,165.0,156.0,9.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,950
Munchies,Gits Khaman Dhokla Instant Snack Mix,6500,6,6,6100,180,False,180,65.0,61.0,4.0,Low Discount,In Stock,Affordable,Light,Bulk Pack,951
Munchies,Happilo Premium 100% Natural Whole Cashews,33500,29,6,23500,200,False,200,335.0,235.0,100.0,High Discount,In Stock,Mid-Range,Light,Bulk Pack,952
Munchies,Everest Dry Mango Powder,8000,0,5,8000,100,False,100,80.0,80.0,0.0,No Discount,Low Stock,Affordable,Light,Bulk Pack,953
